specialty,sex,under_18,famsize,Mjob,Fjob,reason,socialcohabitation,traveltime,studytime,failures,schoolsup,selfpayfees,activities,catch-up,internet,romantic,famrel,freetime,goout,health,absences,G3
MI,F,GE18,GT3,Unemployed,Employee,course,guardian,2,2,0,yes,no,no,yes,no,no,4,3,4,3,6,6
MI,F,U18,GT3,Unemployed,Contractor,course,alone,1,2,0,no,no,no,yes,yes,no,5,3,3,3,4,6
IN,F,U18,LE3,Unemployed,Contractor,other,guardian,1,2,3,yes,yes,no,yes,yes,no,4,3,2,3,10,10
MI,F,U18,GT3,employee,Civil_Servant,home,guardian,1,3,0,no,yes,yes,yes,yes,yes,3,2,2,5,2,15
IN,F,U18,GT3,unemployed,Contractor,home,alone,1,2,0,no,yes,no,yes,no,no,4,3,2,5,4,10
IN,M,U18,LE3,civil_Servant,Contractor,reputation,guardian,1,2,0,no,yes,yes,yes,yes,no,5,4,2,5,10,15
MI,M,U18,LE3,unemployed,Contractor,home,guardian,1,2,0,no,no,no,yes,yes,no,4,4,4,3,0,11
IN,F,U18,GT3,unemployed,Employee,home,guardian,2,2,0,yes,no,no,yes,no,no,4,1,4,1,6,6
IN,M,U18,LE3,civil_Servant,Contractor,home,guardian,1,2,0,no,yes,no,yes,yes,no,4,2,2,1,0,19
IN,M,U18,GT3,unemployed,Contractor,home,guardian,1,2,0,no,yes,yes,yes,yes,no,5,5,1,5,0,15
IN,F,U18,GT3,employee,Employee,reputation,guardian,1,2,0,no,yes,no,yes,yes,no,3,3,3,2,0,9
MI,F,U18,GT3,civil_Servant,Contractor,reputation,alone,3,3,0,no,no,yes,yes,yes,no,5,2,2,4,4,12
IN,M,U18,LE3,employee,Civil_Servant,course,alone,1,1,0,no,yes,yes,yes,yes,no,4,3,3,5,2,14
IN,M,U18,GT3,employee,Contractor,course,guardian,2,2,0,no,yes,no,yes,yes,no,5,4,3,3,2,11
MI,M,U18,GT3,unemployed,Contractor,home,alone,1,3,0,no,no,no,yes,yes,yes,4,5,2,3,0,16
IN,F,U18,GT3,employee,Contractor,home,guardian,1,1,0,no,no,no,yes,yes,no,4,4,4,2,4,14
MI,F,U18,GT3,civil_Servant,Civil_Servant,reputation,guardian,1,3,0,no,yes,yes,yes,yes,no,3,2,3,2,6,14
IN,F,U18,GT3,unemployed,Contractor,reputation,guardian,3,2,0,yes,no,yes,yes,no,no,5,3,2,4,4,10
MI,M,U18,GT3,civil_Servant,Civil_Servant,course,guardian,1,1,3,no,no,yes,yes,yes,no,5,5,5,5,16,5
MI,M,U18,LE3,employee,Contractor,home,alone,1,1,0,no,yes,yes,yes,yes,no,3,1,3,5,4,10
MI,M,U18,GT3,employee,Contractor,reputation,guardian,1,2,0,no,no,no,yes,yes,no,4,4,1,1,0,15
IN,M,U18,GT3,employee,Employee,other,alone,1,1,0,no,yes,no,yes,yes,no,5,4,2,5,0,15
IN,M,U18,LE3,employee,Contractor,course,guardian,1,2,0,no,no,yes,yes,yes,no,4,5,1,5,2,16
IN,M,U18,LE3,unemployed,Contractor,reputation,guardian,2,2,0,no,no,yes,yes,yes,no,5,4,4,5,0,12
MI,F,U18,GT3,civil_Servant,Employee,course,guardian,1,3,0,yes,yes,yes,yes,yes,no,4,3,2,5,2,8
MI,F,U18,GT3,civil_Servant,Civil_Servant,home,guardian,1,1,2,no,yes,no,yes,yes,no,1,2,2,5,14,8
IN,M,U18,GT3,unemployed,Contractor,home,guardian,1,1,0,no,yes,no,yes,yes,no,4,2,2,5,2,11
IN,M,U18,GT3,employee,Civil_Servant,other,guardian,1,1,0,no,yes,no,yes,yes,no,2,2,4,1,4,15
IN,M,U18,LE3,civil_Servant,Contractor,home,guardian,1,2,0,yes,no,yes,yes,yes,no,5,3,3,5,4,11
MI,M,U18,GT3,employee,Employee,home,guardian,1,2,0,no,yes,yes,yes,yes,yes,4,4,5,5,16,11
MI,M,U18,GT3,employee,Civil_Servant,home,guardian,1,2,0,no,yes,no,yes,yes,no,5,4,2,5,0,12
IN,M,U18,GT3,civil_Servant,Civil_Servant,reputation,guardian,2,2,0,no,no,yes,yes,yes,no,4,3,1,5,0,17
MI,M,U18,GT3,employee,Unemployed,course,guardian,1,2,0,no,no,yes,yes,yes,yes,4,5,2,5,0,16
MI,M,U18,LE3,unemployed,Contractor,course,guardian,1,2,0,no,no,yes,yes,yes,no,5,3,2,2,0,12
IN,M,U18,GT3,unemployed,Contractor,home,guardian,1,1,0,no,yes,no,yes,yes,no,5,4,3,5,0,15
MI,F,U18,GT3,unemployed,Contractor,other,alone,2,1,0,no,no,yes,yes,no,no,3,5,1,5,0,6
MI,M,U18,LE3,employee,Civil_Servant,home,guardian,1,3,0,no,no,yes,yes,yes,no,5,4,3,4,2,18
MI,M,U18,GT3,unemployed,Employee,reputation,guardian,2,3,0,no,no,yes,yes,yes,yes,2,4,3,5,7,15
MI,F,U18,GT3,civil_Servant,Employee,course,guardian,1,3,0,yes,yes,yes,yes,yes,no,4,3,2,5,2,11
MI,F,U18,GT3,Unemployed,Contractor,reputation,guardian,1,1,0,yes,yes,yes,yes,no,no,4,3,1,2,8,13
MI,F,U18,LE3,unemployed,Contractor,home,guardian,2,2,1,no,no,yes,yes,yes,yes,3,3,3,3,25,11
IN,M,U18,LE3,employee,Contractor,home,alone,1,1,0,no,no,no,yes,yes,yes,5,4,3,5,8,12
MI,M,U18,GT3,civil_Servant,Employee,course,alone,1,2,0,no,no,yes,yes,yes,no,4,3,3,5,2,18
IN,M,U18,GT3,civil_Servant,Civil_Servant,course,alone,1,1,0,yes,no,no,yes,yes,no,5,4,1,1,0,11
IN,F,U18,LE3,unemployed,Unemployed,course,alone,2,2,1,yes,no,yes,yes,yes,no,4,3,3,5,14,9
IN,F,U18,LE3,unemployed,Contractor,course,guardian,1,2,0,yes,yes,yes,yes,yes,yes,5,2,2,5,8,6
MI,F,U18,LE3,unemployed,Civil_Servant,home,guardian,1,2,0,no,no,no,yes,yes,no,2,3,5,3,12,11
MI,M,U18,GT3,employee,Civil_Servant,reputation,guardian,1,4,0,no,no,yes,yes,yes,no,4,2,2,2,4,20
IN,M,U18,GT3,employee,Contractor,home,guardian,1,2,0,no,yes,no,yes,no,no,4,3,3,5,2,14
MI,F,U18,GT3,civil_Servant,Employee,other,alone,1,2,1,yes,no,yes,yes,yes,no,4,4,4,3,2,7
IN,F,U18,LE3,civil_Servant,Civil_Servant,course,guardian,3,2,0,no,yes,no,yes,yes,no,4,3,3,4,2,13
IN,F,U18,LE3,employee,Contractor,other,guardian,1,2,0,no,yes,no,yes,yes,no,4,3,3,5,2,13
IN,M,U18,LE3,employee,Employee,other,alone,2,1,1,no,no,no,yes,no,no,5,5,5,5,6,10
IN,F,U18,GT3,civil_Servant,Civil_Servant,course,guardian,1,1,0,yes,yes,no,yes,yes,no,3,3,4,5,0,11
IN,F,U18,LE3,unemployed,Contractor,other,guardian,1,1,0,no,yes,no,yes,yes,no,5,3,4,1,6,13
IN,F,U18,GT3,unemployed,Contractor,other,guardian,1,2,0,no,yes,yes,yes,yes,yes,5,3,4,2,8,10
IN,F,U18,GT3,civil_Servant,Civil_Servant,reputation,guardian,1,2,0,no,yes,yes,yes,yes,no,4,3,2,1,0,15
MI,M,U18,GT3,employee,Employee,reputation,guardian,1,2,0,no,no,yes,yes,no,no,3,2,2,5,4,15
IN,M,U18,LE3,unemployed,Unemployed,home,alone,1,2,0,yes,no,yes,yes,yes,no,4,3,2,5,2,9
IN,F,U18,GT3,civil_Servant,Contractor,course,guardian,1,2,0,no,no,no,yes,yes,no,4,2,3,5,2,16
MI,F,U18,GT3,employee,Employee,other,guardian,1,2,0,no,no,yes,yes,no,no,2,4,4,4,6,11
MI,F,U18,GT3,civil_Servant,Civil_Servant,course,alone,4,1,0,yes,no,yes,yes,yes,yes,5,5,5,5,6,11
IN,F,U18,LE3,unemployed,Civil_Servant,reputation,alone,1,2,0,yes,no,yes,yes,yes,no,4,4,3,1,4,9
IN,F,U18,GT3,employee,Employee,home,guardian,1,3,0,yes,yes,yes,yes,yes,no,3,4,4,4,2,9
IN,F,U18,LE3,civil_Servant,Civil_Servant,reputation,alone,1,2,0,yes,no,yes,yes,yes,yes,4,4,4,2,0,10
MI,F,U18,LE3,employee,Civil_Servant,course,guardian,3,2,0,no,no,yes,yes,yes,no,5,4,3,1,2,15
MI,M,U18,GT3,unemployed,Civil_Servant,reputation,guardian,1,4,0,no,no,yes,yes,yes,yes,1,3,3,3,4,12
MI,F,U18,GT3,civil_Servant,Contractor,course,guardian,1,4,0,yes,yes,no,yes,yes,no,4,3,3,5,4,6
IN,F,U18,LE3,employee,Civil_Servant,reputation,guardian,2,2,0,yes,yes,no,yes,yes,no,4,1,3,4,2,8
IN,F,U18,LE3,unemployed,Contractor,reputation,alone,2,4,0,no,no,no,yes,yes,no,4,4,2,3,12,16
IN,M,U18,GT3,unemployed,Contractor,reputation,alone,2,4,0,no,yes,no,yes,yes,no,4,3,2,5,0,15
MI,M,U18,GT3,unemployed,Contractor,course,guardian,1,4,0,no,no,no,yes,yes,no,3,3,3,3,0,10
IN,F,U18,GT3,unemployed,Contractor,reputation,guardian,1,2,2,yes,no,no,yes,yes,yes,3,3,4,5,2,5
IN,M,U18,GT3,unemployed,Contractor,reputation,guardian,1,1,0,no,no,yes,yes,no,no,5,3,2,5,2,14
IN,F,U18,GT3,unemployed,Civil_Servant,home,guardian,1,2,0,yes,yes,yes,yes,yes,no,4,3,3,5,54,11
MI,M,U18,GT3,employee,Contractor,home,guardian,1,2,0,no,yes,yes,yes,yes,no,4,3,3,5,6,10
MI,M,U18,GT3,employee,Contractor,course,guardian,2,4,0,no,no,yes,yes,yes,no,3,4,3,1,8,10
IN,F,U18,GT3,unemployed,Contractor,reputation,guardian,1,4,0,no,yes,no,yes,yes,yes,5,2,3,3,0,11
MI,M,U18,GT3,unemployed,Contractor,home,guardian,2,1,3,yes,no,yes,no,yes,no,4,5,1,3,2,10
MI,F,U18,GT3,Unemployed,Contractor,course,guardian,1,2,0,no,no,no,yes,yes,no,2,4,3,3,12,5
IN,M,U18,GT3,unemployed,Civil_Servant,course,alone,1,1,0,yes,yes,yes,yes,yes,yes,3,2,2,3,2,12
IN,M,U18,GT3,unemployed,Contractor,home,guardian,1,3,0,yes,yes,no,yes,yes,no,5,3,2,5,4,11
MI,F,U18,LE3,civil_Servant,Contractor,reputation,guardian,1,2,0,no,yes,no,yes,yes,no,4,4,4,5,10,6
IN,M,U18,LE3,civil_Servant,Civil_Servant,home,guardian,2,2,0,no,yes,yes,yes,yes,no,5,3,3,4,4,15
IN,F,U18,GT3,unemployed,Contractor,home,alone,1,2,0,no,no,yes,yes,yes,no,4,3,2,4,2,10
IN,F,U18,GT3,civil_Servant,Civil_Servant,reputation,alone,2,2,2,no,yes,no,yes,yes,yes,4,4,4,5,6,8
IN,F,U18,LE3,Unemployed,Contractor,course,guardian,1,2,0,no,no,no,yes,no,no,4,3,4,2,4,6
MI,F,U18,GT3,unemployed,Contractor,reputation,guardian,1,3,0,no,no,yes,yes,yes,no,5,3,3,1,4,14
MI,M,U18,GT3,civil_Servant,Contractor,reputation,alone,2,2,1,no,yes,yes,yes,yes,no,4,4,2,3,12,10
IN,M,U18,LE3,employee,Employee,reputation,guardian,1,2,0,no,no,no,yes,no,no,4,1,3,5,18,7
IN,F,U18,GT3,unemployed,Contractor,home,guardian,1,3,0,no,yes,no,yes,yes,yes,4,3,3,4,0,8
IN,F,U18,GT3,civil_Servant,Contractor,reputation,guardian,1,1,0,no,yes,yes,yes,yes,no,4,5,5,1,4,18
IN,F,U18,LE3,unemployed,Contractor,home,alone,1,2,0,yes,no,no,yes,no,no,3,3,3,2,4,6
IN,F,U18,GT3,employee,Civil_Servant,home,guardian,2,2,0,no,yes,yes,yes,yes,no,5,3,3,1,0,10
IN,M,U18,LE3,civil_Servant,Employee,reputation,guardian,1,4,0,no,no,yes,yes,yes,no,4,3,4,4,6,14
MI,F,U18,GT3,Unemployed,Contractor,home,guardian,2,4,1,yes,yes,yes,yes,yes,no,3,1,2,1,2,10
IN,M,U18,GT3,civil_Servant,Contractor,reputation,guardian,2,1,0,yes,no,yes,yes,yes,no,3,3,3,4,2,15
MI,F,U18,GT3,unemployed,Contractor,course,guardian,1,2,0,no,yes,no,yes,no,yes,4,3,5,5,2,10
IN,F,U18,GT3,unemployed,Contractor,reputation,guardian,1,1,0,no,no,yes,yes,yes,no,5,3,4,1,6,14
MI,F,U18,GT3,unemployed,Unemployed,course,guardian,1,3,0,yes,yes,no,yes,yes,no,5,3,5,3,0,8
IN,M,U18,GT3,civil_Servant,Civil_Servant,other,guardian,1,1,0,yes,yes,yes,yes,yes,no,4,5,5,4,14,5
IN,M,U18,GT3,civil_Servant,Employee,other,alone,1,3,0,no,no,yes,yes,yes,yes,4,4,3,4,0,17
IN,M,U18,GT3,civil_Servant,Contractor,course,guardian,1,1,0,no,no,yes,yes,yes,no,5,3,3,5,4,14
MI,F,U18,GT3,civil_Servant,Contractor,home,guardian,2,2,0,yes,yes,no,yes,yes,no,4,3,5,2,26,6
MI,M,U18,GT3,civil_Servant,Contractor,course,guardian,1,2,0,no,yes,yes,yes,yes,no,5,4,4,1,0,18
IN,F,U18,GT3,unemployed,Employee,reputation,alone,1,4,0,yes,no,no,yes,no,no,4,3,3,4,10,11
MI,F,U18,GT3,unemployed,Contractor,course,guardian,1,4,0,yes,yes,no,yes,yes,no,5,1,2,3,8,8
IN,M,U18,GT3,civil_Servant,Contractor,home,alone,1,3,0,no,no,yes,yes,yes,no,5,3,3,5,2,18
MI,M,U18,GT3,unemployed,Contractor,home,alone,4,4,0,no,yes,yes,yes,yes,yes,1,3,5,1,6,13
IN,F,U18,LE3,employee,Employee,other,guardian,1,3,0,no,yes,yes,yes,yes,yes,5,4,5,4,4,16
IN,M,U18,LE3,employee,Employee,course,guardian,1,1,0,no,no,yes,yes,yes,no,5,5,3,4,6,19
IN,F,U18,GT3,civil_Servant,Contractor,reputation,alone,1,3,1,yes,no,yes,yes,yes,no,4,1,2,2,0,10
IN,F,U18,GT3,Unemployed,Contractor,home,guardian,1,2,1,yes,no,yes,yes,yes,no,3,1,2,5,6,13
IN,M,U18,LE3,employee,Contractor,course,guardian,1,1,0,no,no,no,yes,yes,no,3,5,2,3,10,19
IN,M,U18,GT3,employee,Civil_Servant,reputation,guardian,1,2,0,no,no,yes,yes,yes,yes,5,4,2,5,8,9
MI,M,U18,GT3,employee,Employee,course,alone,1,2,0,no,no,yes,yes,yes,no,5,4,4,5,2,16
IN,M,U18,GT3,unemployed,Employee,reputation,alone,2,2,0,no,no,yes,yes,no,no,4,4,3,2,2,14
MI,M,U18,GT3,unemployed,Civil_Servant,home,alone,2,1,0,no,no,yes,yes,yes,no,5,4,2,5,0,13
MI,M,U18,GT3,unemployed,Contractor,course,alone,3,2,1,no,no,yes,yes,yes,no,5,2,4,5,20,8
IN,M,U18,GT3,unemployed,Contractor,reputation,alone,1,1,0,no,no,no,yes,yes,no,3,4,3,4,6,13
IN,F,U18,GT3,Unemployed,Civil_Servant,course,guardian,1,2,0,no,no,no,yes,yes,no,3,2,3,1,2,15
MI,M,U18,GT3,civil_Servant,Civil_Servant,home,alone,1,4,0,no,yes,yes,yes,yes,no,5,5,4,5,6,15
MI,F,U18,LE3,unemployed,Employee,course,alone,2,2,0,no,yes,yes,yes,yes,yes,4,2,2,5,2,13
MI,M,U18,GT3,employee,Contractor,course,guardian,1,1,0,no,no,yes,yes,yes,no,3,4,4,5,18,13
IN,F,U18,GT3,unemployed,Contractor,home,guardian,1,2,0,no,yes,no,yes,yes,yes,5,4,4,5,0,8
MI,M,U18,GT3,civil_Servant,Civil_Servant,home,alone,1,1,0,yes,no,no,yes,yes,no,5,5,5,5,0,12
IN,F,U18,LE3,unemployed,Contractor,home,guardian,1,2,0,yes,no,yes,yes,yes,yes,5,3,2,1,0,11
IN,F,GE18,GT3,Unemployed,Contractor,course,alone,1,2,3,no,no,no,no,no,no,3,4,2,5,2,9
IN,M,GE18,GT3,civil_Servant,Contractor,reputation,guardian,1,1,2,no,no,yes,yes,yes,no,3,3,3,4,0,0
IN,M,U18,GT3,employee,Employee,course,guardian,1,1,0,no,yes,yes,yes,yes,no,3,5,5,4,8,18
MI,F,U18,GT3,civil_Servant,Employee,course,alone,2,3,2,no,no,no,yes,yes,yes,4,2,2,5,0,0
MI,F,U18,GT3,Unemployed,Contractor,course,guardian,3,1,0,no,no,yes,yes,yes,yes,4,3,3,4,0,0
MI,F,U18,LE3,unemployed,Contractor,course,alone,1,1,0,no,no,no,yes,yes,yes,3,4,4,5,12,12
MI,F,U18,GT3,civil_Servant,Contractor,course,alone,1,1,0,no,no,no,yes,yes,no,3,2,1,5,16,11
MI,M,U18,GT3,Unemployed,Employee,course,guardian,4,2,0,no,no,no,yes,no,yes,5,3,3,5,0,0
IN,F,U18,GT3,civil_Servant,Unemployed,course,guardian,1,3,0,no,no,yes,yes,yes,yes,4,3,3,5,0,0
MI,M,U18,GT3,Unemployed,Contractor,course,guardian,3,2,0,no,no,no,yes,no,no,5,4,5,5,0,0
IN,F,U18,GT3,unemployed,Contractor,course,alone,2,1,2,no,no,yes,yes,yes,yes,4,3,2,5,0,0
IN,M,U18,LE3,civil_Servant,Contractor,course,guardian,1,2,1,no,no,no,yes,no,yes,4,4,4,5,0,12
IN,F,U18,GT3,employee,Employee,course,guardian,2,1,0,no,no,yes,yes,yes,no,4,3,2,5,0,15
MI,M,U18,GT3,employee,Civil_Servant,course,alone,2,4,0,yes,no,no,yes,yes,no,2,2,2,3,0,0
IN,M,U18,LE3,civil_Servant,Civil_Servant,reputation,alone,2,1,2,no,no,yes,yes,yes,no,2,3,3,2,8,9
MI,F,U18,GT3,employee,Civil_Servant,course,guardian,1,3,0,no,yes,yes,yes,yes,no,4,2,2,5,2,11
MI,F,U18,LE3,Unemployed,Unemployed,course,guardian,1,1,0,no,no,no,yes,yes,no,3,4,4,1,2,13
MI,M,U18,GT3,unemployed,Contractor,home,guardian,1,1,3,no,no,no,yes,yes,no,5,4,5,5,0,0
MI,F,U18,GT3,unemployed,Civil_Servant,course,alone,1,2,0,no,yes,no,yes,yes,no,4,4,2,5,0,11
IN,F,U18,GT3,employee,Civil_Servant,home,alone,1,2,3,no,no,no,yes,yes,no,3,3,2,3,0,0
IN,F,U18,GT3,Unemployed,Contractor,course,guardian,1,2,0,no,yes,no,yes,yes,no,4,3,2,5,2,11
MI,M,U18,GT3,employee,Employee,course,guardian,1,1,0,no,no,no,no,yes,yes,3,3,2,5,0,0
MI,M,U18,LE3,civil_Servant,Contractor,course,guardian,4,1,3,no,no,no,yes,yes,no,4,5,5,5,0,10
MI,M,GE18,LE3,unemployed,Contractor,course,guardian,1,1,3,no,no,no,no,yes,yes,2,3,5,4,0,0
MI,M,U18,LE3,Unemployed,Contractor,course,guardian,1,1,1,no,no,yes,yes,no,yes,4,4,4,5,6,14
IN,F,U18,GT3,civil_Servant,Civil_Servant,reputation,alone,2,3,2,no,yes,yes,yes,yes,yes,4,2,1,3,8,10
MI,M,GE18,GT3,civil_Servant,Unemployed,home,guardian,1,1,3,no,no,no,no,yes,yes,4,5,4,4,0,0
IN,F,U18,GT3,unemployed,Employee,course,guardian,1,1,0,yes,no,no,yes,no,yes,4,2,1,4,0,12
MI,M,U18,GT3,Unemployed,Civil_Servant,course,guardian,1,2,0,yes,yes,yes,yes,no,no,4,4,4,1,2,8
IN,M,U18,LE3,unemployed,Contractor,reputation,guardian,1,1,0,no,no,no,yes,no,no,2,2,2,5,8,13
MI,F,GE18,GT3,Unemployed,Contractor,course,guardian,3,1,3,no,no,yes,yes,no,no,5,2,5,4,6,10
IN,M,U18,GT3,Unemployed,Contractor,course,guardian,3,1,0,no,no,no,yes,no,no,4,2,2,3,2,15
MI,M,U18,GT3,unemployed,Civil_Servant,course,alone,1,2,1,no,yes,no,yes,yes,yes,4,5,5,5,4,12
IN,M,U18,LE3,Unemployed,Contractor,course,guardian,2,1,2,no,no,yes,no,yes,yes,3,3,2,5,0,0
IN,M,U18,GT3,unemployed,Contractor,course,guardian,2,2,2,yes,no,no,yes,yes,yes,4,4,4,3,6,7
IN,M,U18,LE3,unemployed,Contractor,course,guardian,2,1,1,no,no,yes,yes,no,no,4,4,4,5,0,0
IN,M,U18,GT3,Unemployed,Civil_Servant,course,alone,1,1,0,no,no,no,no,yes,no,5,3,3,2,2,10
MI,M,U18,LE3,unemployed,Civil_Servant,course,guardian,4,2,3,no,no,yes,no,no,yes,5,3,5,5,0,7
MI,M,U18,GT3,civil_Servant,Civil_Servant,course,guardian,2,1,1,no,no,yes,no,no,no,4,5,2,2,16,12
MI,M,U18,GT3,unemployed,Contractor,course,alone,1,2,0,no,no,no,no,yes,no,4,3,5,4,4,10
IN,F,U18,GT3,employee,Civil_Servant,home,alone,1,2,0,no,yes,no,yes,yes,yes,4,2,3,3,0,16
IN,F,U18,GT3,unemployed,Contractor,home,guardian,1,2,0,no,yes,no,yes,yes,no,5,1,5,4,0,0
MI,F,U18,GT3,employee,Employee,reputation,guardian,1,2,0,no,yes,no,yes,yes,yes,4,4,2,3,0,14
MI,M,U18,GT3,unemployed,Contractor,course,alone,3,1,2,no,no,yes,yes,yes,no,3,4,5,2,0,0
MI,M,U18,GT3,unemployed,Contractor,reputation,guardian,2,2,0,no,yes,yes,yes,yes,yes,4,3,2,3,2,16
MI,M,U18,LE3,employee,Contractor,reputation,guardian,1,2,0,no,yes,yes,yes,yes,no,4,4,4,5,0,10
MI,F,U18,GT3,Unemployed,Civil_Servant,home,guardian,1,2,3,no,no,yes,yes,yes,yes,4,3,5,3,0,0
MI,F,U18,LE3,unemployed,Contractor,reputation,guardian,2,2,0,no,yes,yes,yes,yes,no,4,4,5,4,4,9
IN,M,U18,LE3,employee,Contractor,course,guardian,2,2,0,no,yes,yes,yes,yes,no,4,4,4,4,4,9
IN,F,U18,GT3,civil_Servant,Contractor,reputation,guardian,2,2,0,no,yes,yes,yes,yes,no,3,4,4,5,2,11
IN,M,U18,GT3,unemployed,Contractor,reputation,alone,1,2,0,no,no,yes,yes,yes,no,4,3,4,4,4,6
MI,M,U18,GT3,employee,Civil_Servant,other,guardian,1,1,0,no,no,yes,yes,yes,yes,4,3,3,3,10,9
MI,M,U18,GT3,unemployed,Contractor,course,guardian,1,2,0,no,no,yes,yes,yes,yes,5,2,3,2,4,11
IN,M,U18,GT3,employee,Contractor,home,guardian,1,2,0,no,yes,yes,yes,yes,no,3,4,3,3,10,8
MI,M,U18,GT3,civil_Servant,Contractor,home,guardian,1,2,0,no,yes,yes,yes,yes,yes,4,2,3,3,2,12
IN,F,U18,GT3,civil_Servant,Civil_Servant,reputation,alone,1,2,0,no,no,yes,yes,no,no,5,4,2,5,0,17
MI,F,U18,LE3,unemployed,Contractor,reputation,guardian,1,2,0,no,no,yes,yes,yes,yes,5,3,3,1,56,8
MI,F,U18,GT3,unemployed,Contractor,reputation,guardian,1,2,0,no,yes,no,yes,yes,no,1,2,2,1,14,12
MI,M,U18,GT3,civil_Servant,Civil_Servant,other,guardian,1,2,0,no,no,yes,yes,yes,yes,4,3,4,4,12,11
MI,M,U18,GT3,civil_Servant,Civil_Servant,other,guardian,1,1,0,no,yes,yes,yes,yes,yes,3,3,3,3,2,11
MI,M,U18,LE3,unemployed,Contractor,course,guardian,1,2,0,no,yes,yes,yes,yes,yes,4,2,3,5,0,15
IN,F,U18,GT3,employee,Contractor,reputation,guardian,1,2,0,no,no,no,yes,yes,yes,3,3,3,3,6,9
IN,M,U18,GT3,Unemployed,Contractor,home,guardian,1,2,0,no,no,no,yes,no,no,3,1,3,3,4,10
IN,F,U18,GT3,civil_Servant,Civil_Servant,course,guardian,1,2,0,no,no,no,yes,yes,no,4,3,3,2,10,13
MI,F,U18,GT3,Unemployed,Civil_Servant,course,guardian,1,2,0,no,no,yes,yes,yes,no,5,3,3,3,0,9
MI,M,U18,GT3,Unemployed,Civil_Servant,other,alone,2,2,0,no,yes,yes,yes,yes,no,4,4,4,5,12,8
IN,M,U18,GT3,civil_Servant,Civil_Servant,reputation,guardian,1,1,0,no,no,yes,yes,yes,no,4,3,2,5,8,10
IN,M,U18,GT3,unemployed,Contractor,home,alone,2,1,0,no,no,no,yes,yes,no,5,3,3,3,0,14
MI,F,U18,LE3,civil_Servant,Civil_Servant,course,alone,1,2,0,no,no,yes,yes,yes,yes,4,3,2,5,0,15
IN,M,U18,GT3,civil_Servant,Employee,home,guardian,1,1,0,no,no,no,yes,yes,no,5,2,3,5,4,16
