specialty,sex,under_18,famsize,Mjob,Fjob,reason,socialcohabitation,traveltime,studytime,failures,schoolsup,selfpayfees,activities,catch-up,internet,romantic,famrel,freetime,goout,health,absences,G3
IN,M,U18,LE3,employee,Contractor,home,alone,3,1,0,no,yes,yes,yes,yes,no,3,3,4,3,8,10
MI,F,U18,GT3,civil_Servant,Employee,home,guardian,2,1,1,no,no,no,yes,yes,no,4,2,4,2,24,18
MI,F,U18,LE3,employee,Employee,reputation,guardian,1,2,0,no,yes,no,yes,yes,no,4,5,2,3,0,10
MI,F,U18,GT3,employee,Contractor,home,guardian,1,2,0,no,no,yes,yes,yes,no,4,3,5,2,2,16
MI,F,U18,GT3,unemployed,Contractor,reputation,guardian,1,2,0,yes,yes,yes,yes,no,no,4,4,3,4,6,10
MI,F,U18,GT3,unemployed,Contractor,course,guardian,1,2,0,no,yes,no,yes,no,no,4,4,4,1,4,10
MI,F,U18,GT3,unemployed,Contractor,reputation,guardian,1,1,0,no,no,no,yes,yes,no,5,3,2,3,18,6
IN,F,U18,GT3,civil_Servant,Civil_Servant,reputation,guardian,2,4,0,no,yes,yes,yes,yes,no,5,3,5,5,6,11
IN,F,U18,GT3,Unemployed,Civil_Servant,home,guardian,1,3,1,no,yes,no,yes,yes,yes,4,4,3,5,28,9
IN,F,U18,GT3,civil_Servant,Contractor,course,guardian,1,2,3,no,yes,no,yes,yes,no,2,3,3,4,5,7
MI,F,U18,GT3,employee,Contractor,other,guardian,1,2,0,no,yes,yes,yes,yes,yes,1,3,2,1,10,13
IN,F,U18,GT3,Unemployed,Contractor,home,guardian,2,1,0,no,yes,no,yes,no,no,4,3,2,5,6,10
MI,F,U18,GT3,employee,Contractor,reputation,guardian,2,3,0,no,yes,yes,yes,yes,yes,4,4,2,4,6,7
MI,F,GE18,GT3,unemployed,Contractor,reputation,alone,1,4,0,no,yes,yes,yes,yes,no,4,3,3,3,10,8
IN,M,U18,LE3,civil_Servant,Contractor,home,guardian,1,2,0,no,yes,no,yes,yes,yes,5,3,5,3,13,13
MI,F,U18,GT3,unemployed,Contractor,reputation,guardian,1,2,0,yes,yes,no,yes,yes,no,3,3,4,4,0,14
IN,M,GE18,GT3,civil_Servant,Contractor,home,guardian,1,2,1,no,yes,yes,yes,yes,no,4,4,4,5,15,8
IN,F,U18,LE3,civil_Servant,Contractor,other,guardian,1,1,0,no,yes,no,yes,no,no,5,2,1,3,12,10
MI,F,U18,LE3,unemployed,Contractor,reputation,guardian,2,2,0,no,yes,no,yes,yes,no,4,4,4,1,2,15
MI,F,U18,GT3,unemployed,Contractor,reputation,guardian,1,2,2,no,yes,no,yes,yes,yes,3,4,5,1,22,4
IN,M,GE18,LE3,civil_Servant,Employee,home,alone,1,2,1,no,yes,no,yes,yes,no,3,2,4,4,13,8
MI,F,U18,GT3,Unemployed,Contractor,home,alone,2,1,0,no,yes,no,yes,no,no,3,3,3,3,3,8
MI,F,U18,GT3,Unemployed,Unemployed,course,guardian,1,3,0,no,yes,yes,yes,yes,no,4,3,3,4,4,10
MI,F,U18,GT3,Unemployed,Civil_Servant,reputation,guardian,2,2,0,no,no,yes,yes,yes,no,4,2,5,5,2,6
IN,F,U18,GT3,Unemployed,Contractor,reputation,guardian,1,3,1,no,no,yes,yes,no,yes,4,3,4,5,0,0
IN,F,U18,GT3,civil_Servant,Employee,other,guardian,1,2,0,yes,no,no,yes,yes,no,2,3,1,3,2,17
MI,M,GE18,GT3,unemployed,Contractor,home,guardian,2,2,0,no,yes,no,yes,yes,no,3,3,3,4,0,13
IN,F,U18,GT3,employee,Civil_Servant,home,guardian,1,3,0,no,no,yes,yes,yes,no,5,3,2,5,0,14
IN,F,GE18,GT3,unemployed,Contractor,reputation,guardian,1,2,1,no,no,yes,yes,yes,yes,5,3,3,4,16,7
IN,F,U18,GT3,unemployed,Contractor,course,guardian,1,2,0,no,no,yes,yes,yes,no,5,3,4,3,10,15
IN,M,U18,LE3,civil_Servant,Civil_Servant,reputation,alone,1,2,0,no,yes,no,yes,yes,no,5,3,3,3,2,12
MI,M,GE18,LE3,Unemployed,Contractor,course,guardian,4,2,0,yes,yes,yes,yes,yes,yes,4,3,2,3,14,9
MI,F,U18,GT3,unemployed,Contractor,course,guardian,2,3,0,no,no,yes,yes,yes,yes,3,2,3,3,10,12
IN,F,U18,LE3,employee,Contractor,reputation,alone,1,2,0,no,no,yes,yes,yes,yes,3,2,3,3,14,14
MI,M,U18,GT3,unemployed,Contractor,course,alone,2,2,0,no,yes,yes,yes,yes,no,4,5,2,1,4,11
MI,M,U18,GT3,employee,Employee,reputation,guardian,1,2,0,yes,no,yes,yes,yes,yes,4,5,5,2,14,9
MI,M,U18,GT3,employee,Contractor,reputation,alone,1,2,0,no,yes,yes,yes,yes,no,4,2,4,1,2,13
MI,M,U18,LE3,unemployed,Contractor,home,guardian,2,2,0,no,yes,no,yes,yes,no,3,4,2,5,18,6
MI,M,U18,GT3,Unemployed,Contractor,reputation,guardian,2,3,0,no,no,yes,yes,yes,yes,5,3,3,2,10,10
MI,M,U18,LE3,unemployed,Contractor,home,alone,1,2,0,no,yes,yes,yes,yes,yes,4,4,2,4,4,13
IN,F,U18,GT3,unemployed,Contractor,home,guardian,1,1,0,no,no,no,yes,yes,yes,4,5,2,5,20,12
IN,F,U18,GT3,Unemployed,Civil_Servant,course,guardian,3,2,0,no,no,yes,yes,no,no,2,1,1,3,2,11
IN,M,GE18,GT3,unemployed,Civil_Servant,reputation,alone,1,2,1,no,no,no,no,yes,no,5,5,4,2,0,0
MI,M,U18,LE3,employee,Contractor,course,guardian,2,2,0,no,no,yes,yes,yes,yes,2,5,5,5,14,12
IN,M,U18,LE3,employee,Contractor,course,guardian,2,2,0,no,yes,no,yes,yes,no,3,3,3,4,2,12
MI,M,U18,LE3,employee,Contractor,course,guardian,1,1,0,no,no,yes,yes,yes,no,5,4,5,3,0,0
MI,M,U18,GT3,civil_Servant,Civil_Servant,course,guardian,1,1,0,no,no,yes,yes,yes,no,5,3,2,5,0,12
MI,F,GE18,GT3,unemployed,Contractor,course,alone,2,3,0,no,yes,no,yes,yes,yes,4,4,4,3,0,0
MI,M,U18,GT3,unemployed,Contractor,course,guardian,3,1,0,no,no,no,yes,yes,no,4,3,3,4,6,18
MI,M,U18,GT3,unemployed,Contractor,course,alone,2,1,0,no,no,no,yes,yes,no,5,2,2,2,4,13
MI,M,GE18,GT3,civil_Servant,Civil_Servant,other,guardian,1,1,3,no,no,no,no,yes,yes,5,4,5,1,16,8
MI,M,GE18,LE3,unemployed,Civil_Servant,course,guardian,1,2,1,no,no,no,yes,yes,yes,4,3,3,5,8,5
MI,M,U18,GT3,unemployed,Contractor,other,guardian,1,1,0,no,yes,no,yes,yes,no,4,3,2,5,0,15
IN,M,GE18,GT3,civil_Servant,Contractor,course,guardian,2,1,1,no,no,no,no,yes,no,4,4,5,5,0,8
MI,M,U18,GT3,Unemployed,Contractor,reputation,alone,3,2,0,yes,no,no,yes,yes,no,5,3,3,2,6,10
IN,M,GE18,GT3,civil_Servant,Civil_Servant,other,guardian,1,1,1,no,no,no,no,yes,no,3,2,5,5,4,8
MI,M,U18,GT3,unemployed,Contractor,course,guardian,2,1,0,no,no,yes,yes,no,no,3,3,2,3,0,8
MI,M,U18,GT3,unemployed,Contractor,course,guardian,1,1,0,no,no,no,yes,yes,no,4,4,2,5,0,12
MI,M,U18,LE3,employee,Contractor,course,guardian,2,1,1,no,no,yes,yes,yes,no,4,4,4,5,2,8
IN,F,U18,LE3,employee,Civil_Servant,reputation,guardian,1,4,0,no,yes,yes,yes,yes,no,4,2,3,4,6,13
IN,M,GE18,LE3,civil_Servant,Unemployed,reputation,guardian,1,2,0,no,no,no,yes,yes,no,4,3,1,1,12,11
IN,M,GE18,GT3,unemployed,Contractor,home,guardian,1,2,0,no,no,yes,yes,yes,no,5,2,4,4,8,14
IN,F,U18,LE3,civil_Servant,Civil_Servant,course,alone,1,4,0,no,yes,yes,yes,yes,yes,3,4,1,2,0,0
MI,F,GE18,GT3,civil_Servant,Contractor,home,alone,1,2,0,no,yes,no,yes,yes,yes,3,1,2,2,21,18
IN,M,GE18,GT3,employee,Contractor,course,guardian,1,2,0,no,yes,no,yes,yes,no,4,3,2,3,2,8
MI,M,GE18,GT3,unemployed,Contractor,course,guardian,1,3,0,no,no,yes,yes,no,no,5,3,2,3,1,12
MI,F,U18,GT3,unemployed,Contractor,home,guardian,1,3,0,no,no,yes,yes,no,no,3,2,3,4,4,9
IN,F,GE18,GT3,Unemployed,Civil_Servant,home,guardian,1,3,0,no,yes,yes,yes,yes,yes,4,3,3,3,0,0
IN,M,GE18,LE3,unemployed,Contractor,reputation,guardian,2,2,0,no,yes,yes,yes,yes,no,4,2,5,1,13,17
IN,M,U18,GT3,civil_Servant,Contractor,other,guardian,1,2,0,no,yes,yes,yes,yes,yes,5,4,4,5,2,10
IN,F,GE18,GT3,employee,Contractor,reputation,guardian,2,2,0,no,yes,yes,yes,yes,no,4,3,4,4,8,11
IN,M,GE18,GT3,employee,Contractor,reputation,alone,1,2,0,no,yes,yes,yes,yes,yes,5,4,5,5,10,10
IN,F,GE18,GT3,unemployed,Contractor,reputation,guardian,2,2,0,no,no,no,no,yes,yes,4,3,5,3,0,0
MI,F,GE18,GT3,unemployed,Civil_Servant,home,alone,1,2,2,no,yes,yes,yes,yes,no,4,3,5,5,15,9
IN,F,GE18,GT3,unemployed,Civil_Servant,reputation,alone,1,4,0,no,yes,yes,yes,yes,yes,4,5,5,2,4,14
IN,F,GE18,LE3,unemployed,Contractor,home,guardian,2,2,0,no,yes,no,yes,no,no,4,4,3,3,2,11
MI,M,U18,GT3,Unemployed,Unemployed,home,guardian,1,2,0,no,yes,yes,yes,no,yes,3,5,2,1,2,14
MI,F,U18,GT3,Unemployed,Employee,reputation,guardian,2,2,0,no,yes,no,yes,yes,yes,4,3,3,1,2,10
IN,F,U18,LE3,civil_Servant,Contractor,course,guardian,2,2,0,yes,yes,no,yes,yes,yes,4,4,4,5,6,12
MI,F,GE18,GT3,unemployed,Civil_Servant,home,guardian,2,2,0,no,no,no,no,yes,yes,4,1,1,5,75,9
MI,M,GE18,GT3,employee,Civil_Servant,home,guardian,2,1,0,no,yes,yes,yes,yes,no,3,2,4,3,22,9
IN,F,GE18,GT3,employee,Employee,reputation,alone,1,2,1,yes,no,yes,yes,yes,yes,2,4,4,4,15,8
MI,M,GE18,LE3,employee,Civil_Servant,course,guardian,2,1,0,no,yes,yes,yes,yes,no,4,2,3,1,8,10
IN,M,U18,LE3,civil_Servant,Contractor,home,guardian,2,1,0,no,yes,yes,yes,yes,yes,4,5,4,5,30,8
MI,M,U18,LE3,employee,Civil_Servant,home,guardian,1,1,1,no,no,no,yes,yes,no,4,4,4,3,19,10
MI,F,GE18,LE3,Unemployed,Contractor,reputation,guardian,2,4,0,no,yes,yes,yes,no,no,5,2,2,3,1,12
IN,F,GE18,GT3,unemployed,Contractor,home,guardian,2,2,0,yes,no,yes,yes,yes,no,5,4,4,4,4,10
IN,F,U18,GT3,unemployed,Contractor,course,guardian,1,2,0,no,no,no,yes,yes,no,5,4,5,5,4,11
IN,M,U18,GT3,unemployed,Contractor,reputation,alone,1,2,0,no,yes,no,yes,yes,no,4,3,3,4,2,11
MI,F,GE18,GT3,Unemployed,Unemployed,other,guardian,1,3,0,no,yes,no,yes,yes,no,4,3,3,2,5,19
MI,F,U18,GT3,civil_Servant,Employee,reputation,guardian,1,3,0,no,yes,no,yes,yes,no,4,3,3,3,6,12
MI,M,GE18,GT3,civil_Servant,Civil_Servant,reputation,guardian,1,3,0,no,yes,yes,yes,yes,no,4,2,4,2,6,14
MI,M,GE18,LE3,employee,Employee,reputation,guardian,1,2,0,no,yes,yes,yes,yes,no,5,4,3,2,9,15
IN,M,GE18,GT3,employee,Contractor,home,guardian,1,2,0,no,yes,yes,yes,yes,yes,4,3,2,5,11,11
MI,F,U18,GT3,employee,Civil_Servant,reputation,guardian,1,3,0,no,yes,no,yes,yes,no,4,2,2,3,0,15
MI,F,GE18,LE3,civil_Servant,Unemployed,reputation,guardian,1,2,1,no,no,no,yes,yes,yes,5,4,3,5,12,13
IN,F,U18,LE3,civil_Servant,Contractor,reputation,guardian,2,4,0,no,yes,no,yes,no,no,3,1,2,3,6,18
MI,M,GE18,LE3,civil_Servant,Contractor,reputation,guardian,2,3,0,no,yes,yes,yes,yes,no,5,4,2,4,8,14
IN,M,U18,GT3,employee,Contractor,home,guardian,1,1,0,no,yes,no,yes,yes,no,4,4,3,5,4,11
IN,F,GE18,GT3,employee,Contractor,reputation,alone,2,2,0,no,yes,yes,yes,yes,no,2,3,4,2,0,0
MI,F,GE18,LE3,unemployed,Contractor,home,alone,2,2,0,no,yes,no,yes,yes,yes,4,4,5,2,10,8
IN,F,GE18,GT3,unemployed,Contractor,reputation,alone,1,4,0,no,yes,no,yes,yes,no,4,3,3,3,0,14
IN,M,GE18,LE3,employee,Employee,home,guardian,1,1,0,no,yes,no,yes,yes,yes,1,4,2,1,5,16
IN,F,GE18,LE3,employee,Contractor,home,guardian,1,2,0,no,no,no,yes,yes,yes,4,2,4,4,14,11
MI,M,U18,LE3,unemployed,Employee,home,alone,2,1,0,no,yes,no,yes,yes,no,4,1,1,5,0,10
IN,F,U18,GT3,unemployed,Contractor,reputation,guardian,2,3,0,no,yes,no,yes,yes,no,4,3,3,3,0,14
IN,F,U18,GT3,employee,Employee,reputation,alone,1,4,0,no,yes,yes,yes,yes,no,5,2,2,5,0,18
MI,M,GE18,GT3,unemployed,Contractor,home,alone,1,2,1,no,no,yes,yes,yes,yes,4,4,4,3,20,13
IN,F,GE18,GT3,civil_Servant,Unemployed,reputation,alone,1,2,1,no,yes,yes,yes,yes,no,4,4,3,3,8,12
MI,M,GE18,GT3,civil_Servant,Contractor,course,alone,1,1,0,no,no,yes,yes,no,no,5,5,3,5,0,18
MI,M,GE18,GT3,employee,Civil_Servant,reputation,alone,2,1,1,no,yes,no,yes,yes,yes,4,3,4,4,38,8
MI,M,GE18,GT3,unemployed,Civil_Servant,reputation,alone,1,2,1,no,no,yes,yes,no,yes,4,5,3,5,0,12
MI,F,GE18,LE3,Unemployed,Contractor,reputation,alone,1,2,1,yes,no,yes,yes,yes,no,4,4,3,3,18,10
IN,F,GE18,LE3,civil_Servant,Civil_Servant,home,alone,1,2,1,no,no,yes,yes,no,yes,4,2,4,3,0,0
MI,F,GE18,GT3,Unemployed,Contractor,other,alone,3,2,0,no,no,no,no,yes,yes,3,4,1,2,20,13
IN,M,GE18,GT3,unemployed,Civil_Servant,course,alone,1,2,1,no,no,no,yes,yes,no,4,5,2,4,3,11
IN,F,GE18,LE3,civil_Servant,Contractor,reputation,alone,2,2,1,no,yes,no,yes,yes,yes,4,2,2,1,22,11
IN,F,GE18,GT3,Unemployed,Employee,home,alone,1,3,2,no,no,no,yes,yes,yes,4,1,2,3,14,13
IN,F,GE18,GT3,unemployed,Contractor,reputation,alone,1,3,1,no,no,no,yes,yes,yes,4,1,2,3,40,11
MI,F,GE18,GT3,civil_Servant,Contractor,course,guardian,2,2,0,no,yes,yes,yes,yes,no,5,3,3,1,0,0
IN,F,GE18,GT3,unemployed,Contractor,course,guardian,1,3,0,no,yes,yes,yes,yes,yes,4,3,4,5,9,9
IN,F,U18,GT3,Unemployed,Civil_Servant,course,alone,1,3,0,no,yes,yes,yes,yes,no,4,3,4,5,0,10
IN,F,GE18,GT3,employee,Contractor,course,guardian,1,2,0,no,yes,no,yes,yes,no,4,4,4,5,2,11
MI,F,U18,GT3,civil_Servant,Civil_Servant,course,guardian,1,2,0,no,yes,no,yes,yes,yes,5,2,2,5,23,13
MI,F,U18,GT3,unemployed,Contractor,course,guardian,1,2,0,no,no,no,yes,no,yes,4,2,2,3,12,9
IN,F,U18,LE3,civil_Servant,Civil_Servant,course,guardian,1,3,0,no,yes,yes,yes,yes,no,3,3,2,3,3,11
IN,F,U18,GT3,civil_Servant,Civil_Servant,course,alone,1,3,0,no,no,no,yes,yes,no,3,4,3,5,1,15
MI,F,U18,LE3,Unemployed,Unemployed,home,alone,2,3,0,no,no,no,yes,yes,no,3,3,3,2,0,15
MI,M,GE18,GT3,unemployed,Contractor,course,guardian,1,3,0,no,no,yes,yes,yes,no,4,3,3,3,3,11
IN,M,U18,GT3,unemployed,Civil_Servant,reputation,guardian,1,1,0,no,no,yes,yes,yes,no,4,3,5,5,3,16
MI,M,U18,GT3,civil_Servant,Contractor,course,guardian,4,1,0,no,no,no,yes,yes,no,4,4,5,4,8,10
IN,F,U18,GT3,employee,Civil_Servant,course,guardian,1,3,0,no,yes,yes,yes,yes,no,5,4,4,4,7,9
MI,F,U18,GT3,employee,Employee,course,guardian,2,3,0,no,yes,no,yes,yes,yes,4,3,3,4,4,14
MI,M,GE18,LE3,unemployed,Contractor,course,guardian,1,4,0,no,no,yes,yes,yes,no,4,5,5,5,2,8
MI,F,U18,GT3,Unemployed,Contractor,course,alone,1,3,0,no,no,no,yes,yes,yes,4,4,3,5,7,14
IN,F,GE18,GT3,civil_Servant,Civil_Servant,home,guardian,1,2,0,no,no,yes,yes,yes,no,5,3,4,4,0,0
MI,F,GE18,LE3,unemployed,Contractor,home,alone,1,2,0,no,no,yes,yes,yes,yes,4,3,3,2,0,0
IN,F,GE18,GT3,Unemployed,Contractor,course,guardian,2,4,0,no,no,yes,yes,no,no,4,4,4,4,0,0
MI,F,U18,GT3,civil_Servant,Contractor,course,guardian,1,3,0,no,no,no,yes,yes,no,4,4,5,5,16,15
MI,F,GE18,GT3,civil_Servant,Unemployed,home,alone,1,3,1,no,yes,no,yes,no,no,5,4,3,5,12,13
IN,F,U18,GT3,unemployed,Contractor,home,guardian,1,2,0,no,yes,no,yes,yes,yes,4,3,2,2,0,0
IN,F,GE18,LE3,civil_Servant,Civil_Servant,home,guardian,1,4,0,no,no,no,yes,yes,no,5,3,3,1,7,17
MI,F,U18,GT3,unemployed,Contractor,home,guardian,1,2,0,no,yes,no,yes,yes,no,4,3,3,2,4,10
MI,F,GE18,GT3,civil_Servant,Civil_Servant,home,alone,1,3,1,no,yes,yes,yes,yes,yes,4,3,4,3,4,11
MI,M,GE18,GT3,employee,Civil_Servant,home,alone,1,2,1,no,no,yes,yes,yes,no,4,3,3,2,0,0
MI,M,GE18,LE3,civil_Servant,Contractor,home,guardian,1,2,0,no,no,yes,yes,yes,yes,4,3,3,5,11,15
MI,F,U18,GT3,Unemployed,Unemployed,home,alone,1,2,1,no,no,no,yes,yes,yes,3,3,1,4,0,0
IN,F,GE18,GT3,Unemployed,Contractor,course,guardian,1,3,0,no,no,no,yes,yes,no,4,3,3,3,4,10
IN,F,GE18,GT3,unemployed,Civil_Servant,other,guardian,1,3,0,no,no,no,yes,yes,yes,5,4,3,1,7,14
MI,M,GE18,GT3,employee,Civil_Servant,course,guardian,1,3,0,no,no,no,yes,yes,yes,5,3,2,4,9,16
IN,M,GE18,GT3,employee,Contractor,course,guardian,1,3,0,no,yes,no,yes,yes,yes,5,4,5,5,0,9
IN,F,U18,GT3,employee,Contractor,reputation,guardian,1,3,0,no,yes,yes,yes,yes,yes,4,4,3,4,0,15
MA,M,GE18,GT3,unemployed,Contractor,course,guardian,2,1,1,no,no,no,yes,yes,no,2,5,5,5,10,13
MA,M,GE18,GT3,unemployed,Civil_Servant,home,alone,3,2,3,no,no,no,yes,yes,no,5,4,4,2,8,8
MA,M,U18,GT3,employee,Contractor,course,guardian,2,2,0,no,yes,no,yes,yes,no,4,5,4,3,2,13
MA,M,GE18,LE3,Unemployed,Civil_Servant,course,guardian,1,1,1,no,no,no,no,yes,yes,4,3,3,3,7,8
MA,M,GE18,GT3,unemployed,Contractor,home,alone,3,1,1,no,no,no,yes,yes,no,4,4,4,5,4,8
MA,M,U18,GT3,civil_Servant,Contractor,home,guardian,2,2,0,no,yes,yes,yes,yes,yes,4,5,5,2,4,11
MA,F,GE18,GT3,civil_Servant,Civil_Servant,course,alone,1,2,0,no,no,no,yes,no,yes,5,3,4,5,0,9
MA,F,U18,GT3,employee,Civil_Servant,other,alone,2,2,0,no,yes,yes,yes,yes,no,4,3,3,5,4,13
MA,F,U18,LE3,civil_Servant,Contractor,reputation,guardian,2,2,0,no,no,no,yes,no,yes,1,2,3,5,2,11
MA,M,GE18,LE3,unemployed,Civil_Servant,home,alone,2,1,0,no,no,no,yes,yes,yes,3,3,2,3,4,10
MA,F,GE18,LE3,Unemployed,Civil_Servant,course,alone,2,3,0,no,no,no,yes,yes,no,5,3,2,4,0,16
MA,F,GE18,LE3,Unemployed,Contractor,course,guardian,3,2,0,no,no,no,yes,no,yes,4,3,4,5,0,13
MA,M,GE18,LE3,Unemployed,Contractor,other,guardian,2,2,1,no,no,yes,no,no,no,4,4,3,5,2,12
MA,F,GE18,GT3,civil_Servant,Civil_Servant,other,guardian,2,2,0,no,no,no,yes,yes,yes,4,3,2,3,0,10
MA,F,U18,LE3,Unemployed,Unemployed,course,guardian,1,2,0,no,yes,yes,yes,yes,yes,2,3,4,1,0,15
MA,F,U18,GT3,unemployed,Civil_Servant,course,alone,2,2,0,no,no,no,yes,no,no,3,2,2,3,0,12
MA,M,GE18,GT3,Unemployed,Contractor,course,guardian,2,2,0,no,yes,no,yes,no,no,3,3,4,3,4,10
MA,M,GE18,LE3,employee,Civil_Servant,other,guardian,2,3,0,no,yes,no,yes,yes,yes,4,2,2,5,0,13
MA,F,U18,GT3,unemployed,Civil_Servant,reputation,guardian,3,1,1,no,yes,no,yes,yes,yes,5,2,1,1,0,0
MA,F,GE18,GT3,Unemployed,Civil_Servant,course,alone,2,1,0,no,yes,no,yes,yes,yes,5,2,3,4,0,10
MA,F,GE18,GT3,unemployed,Employee,other,alone,3,2,0,no,yes,no,yes,yes,yes,3,2,2,5,10,11
MA,F,GE18,LE3,civil_Servant,Civil_Servant,home,alone,2,2,2,no,no,yes,yes,no,yes,3,2,2,3,4,9
MA,M,GE18,LE3,Unemployed,Civil_Servant,other,alone,3,1,0,no,yes,yes,no,yes,yes,4,3,3,3,3,12
MA,F,U18,GT3,unemployed,Unemployed,home,guardian,1,3,0,no,no,yes,yes,no,yes,3,4,3,3,8,11
MA,F,U18,GT3,unemployed,Contractor,course,guardian,1,1,0,no,no,yes,yes,yes,no,3,5,5,1,14,5
MA,F,GE18,LE3,unemployed,Contractor,reputation,guardian,2,3,0,no,no,no,yes,yes,no,5,4,4,1,0,19
MA,F,GE18,GT3,unemployed,Contractor,home,guardian,4,3,0,no,no,no,yes,yes,no,4,3,2,4,2,10
MA,F,GE18,GT3,employee,Contractor,course,alone,2,3,2,no,yes,no,yes,yes,yes,5,4,3,3,4,15
MA,F,GE18,LE3,employee,Civil_Servant,course,guardian,1,2,0,no,yes,yes,yes,yes,no,5,4,3,2,4,10
MA,F,GE18,GT3,unemployed,Contractor,home,guardian,1,2,0,no,yes,no,yes,yes,yes,4,1,3,1,0,15
MA,F,U18,GT3,Unemployed,Contractor,reputation,guardian,1,2,0,no,yes,yes,yes,yes,no,4,5,4,1,17,10
MA,M,GE18,GT3,employee,Employee,home,alone,1,2,0,no,yes,yes,yes,yes,no,3,2,4,2,4,14
MA,M,GE18,GT3,unemployed,Contractor,other,guardian,2,1,0,no,no,yes,yes,yes,yes,4,4,3,5,5,7
MA,M,U18,GT3,unemployed,Civil_Servant,home,alone,2,2,0,no,no,yes,yes,yes,no,4,4,3,3,2,10
MA,M,GE18,GT3,unemployed,Civil_Servant,other,guardian,2,1,1,no,no,no,yes,no,no,4,3,2,5,0,0
MA,M,GE18,GT3,unemployed,Contractor,home,alone,2,1,1,no,yes,no,yes,no,no,5,4,3,3,14,5
MA,F,GE18,GT3,Unemployed,Contractor,other,guardian,2,3,0,no,yes,no,yes,no,no,5,3,3,4,2,10
MA,F,GE18,GT3,employee,Unemployed,reputation,guardian,3,1,0,no,yes,yes,yes,yes,yes,4,4,3,5,7,6
MA,F,GE18,GT3,civil_Servant,Contractor,course,guardian,1,3,1,no,no,yes,yes,yes,no,5,4,2,5,0,0
MA,F,GE18,LE3,employee,Civil_Servant,course,guardian,1,2,0,no,yes,no,yes,yes,no,4,3,4,1,0,8
MA,F,GE18,GT3,unemployed,Contractor,course,guardian,2,2,1,no,no,yes,yes,no,no,1,1,1,5,0,0
MA,M,GE18,LE3,civil_Servant,Civil_Servant,course,alone,1,2,2,no,yes,no,yes,no,no,5,5,4,4,11,9
MA,M,U18,LE3,civil_Servant,Civil_Servant,course,guardian,2,1,0,no,no,no,yes,yes,no,2,4,5,2,3,16
MA,M,GE18,GT3,unemployed,Contractor,course,alone,1,1,3,no,no,no,yes,no,no,5,5,3,3,3,7
MA,M,GE18,LE3,civil_Servant,Contractor,course,guardian,3,1,0,no,no,no,yes,yes,no,4,4,1,5,0,10
MA,M,GE18,LE3,unemployed,Unemployed,course,alone,1,1,0,no,no,no,yes,yes,no,3,2,3,5,5,9
